날짜,여성_60대이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2022-03-26,3,13,21,26,15,35,34,21,54,35,9,47
2022-03-27,10,17,23,33,14,24,18,62,38,31,12,42
2022-03-28,3,34,39,56,16,18,24,32,67,51,23,65
2022-03-29,10,19,29,37,24,100,32,43,82,50,23,29
2022-03-30,0,40,31,56,15,51,28,60,60,63,16,28
2022-03-31,24,10,31,55,16,33,20,33,53,49,17,21
2022-04-01,28,11,31,36,12,20,10,39,50,42,14,35
2022-04-02,3,9,23,24,11,22,8,18,31,35,10,28
2022-04-03,10,23,20,33,13,33,18,37,42,36,10,13
2022-04-04,21,22,26,52,18,42,46,32,65,55,22,23
2022-04-05,7,37,27,49,18,25,58,28,63,47,21,24
2022-04-06,7,41,41,34,15,40,34,40,65,63,14,45
2022-04-07,7,25,26,41,14,18,28,43,67,56,16,34
2022-04-08,0,22,23,48,14,15,8,31,51,43,10,26
2022-04-09,21,8,12,32,7,11,26,22,38,34,9,23
2022-04-10,3,11,17,30,9,25,44,25,56,38,10,28
2022-04-11,17,13,16,43,15,31,14,21,52,58,20,12
2022-04-12,17,16,26,42,19,25,12,20,65,54,17,18
2022-04-13,21,24,24,36,14,38,20,34,47,47,15,22
2022-04-14,7,17,25,54,15,24,28,34,66,51,13,19
2022-04-15,10,14,18,38,12,24,28,20,51,36,15,17
2022-04-16,7,17,20,21,7,29,20,18,36,24,9,12
2022-04-17,7,7,26,33,12,38,100,27,39,26,9,33
2022-04-18,10,20,19,27,14,16,14,33,49,61,13,17
2022-04-19,10,25,29,43,16,11,24,35,57,47,16,38
2022-04-20,10,9,27,45,13,5,26,27,62,34,15,20
2022-04-21,14,13,20,37,13,5,14,36,41,62,13,42
2022-04-22,10,9,15,32,9,7,20,31,35,44,10,7
2022-04-23,17,8,13,21,9,7,14,28,30,34,9,14
2022-04-24,14,20,13,32,10,7,22,28,38,38,9,14
2022-04-25,24,15,22,42,12,13,14,34,45,55,13,23
2022-04-26,14,20,28,38,11,16,14,27,70,63,13,15
2022-04-27,38,15,18,47,11,15,18,22,46,56,12,6
2022-04-28,3,28,20,40,12,5,16,40,56,52,15,8
2022-04-29,3,18,16,30,13,16,16,35,36,37,12,29
2022-04-30,10,9,14,27,5,22,4,19,28,28,10,11
2022-05-01,3,7,25,19,7,24,16,30,31,50,12,15
2022-05-02,17,13,29,56,15,13,40,30,69,52,12,41
